time,stroke_usec,tick_usec,force,power,spm
377165404,0,1095457,0.016562,0,1.3
377459568,294164,52264,7.319138,7.3357,1.3
377625575,460171,36885,14.699042,22.034742,1.3
377757656,592252,31138,20.621042,42.655784,1.3
377877263,711859,29301,23.283488,65.939272,1.3
377993355,827951,28984,23.805,89.744272,1.3
378113038,947634,30693,21.229128,110.9734,1.3
378247942,1082538,35594,15.780962,126.754362,1.3
378469825,1304421,-17689,63.912818,126.754362,1.3
378534146,1368742,-15907,79.027592,126.754362,1.3
378598131,1432727,-16849,70.44845,126.754362,1.3
378669738,1504334,-19104,54.789512,126.754362,1.3
378757862,1592458,-24041,34.594562,126.754362,1.3
378869283,1703879,-31643,19.9712,126.754362,1.3
379028863,1863459,-47560,8.836808,126.754362,1.3
379312594,0,77641,3.312738,126,27.9
379499601,187007,35144,16.18805,19.500788,27.9
379625560,312966,29752,22.592642,42.09343,27.9
379738585,425991,27487,26.470088,68.563518,27.9
379847307,534713,26995,27.439232,96.00275,27.9
379954989,642395,26675,28.095008,124.097758,27.9
380062620,750026,27164,27.099522,151.19728,27.9
380176183,863589,28989,23.791202,174.988482,27.9
380412700,1100106,-16113,77.028872,174.988482,27.9
380474210,1161616,-15701,81.128322,174.988482,27.9
380541482,1228888,-18121,60.896648,174.988482,27.9
380617619,1305025,-20221,48.90605,174.988482,27.9
380707807,1395213,-24781,32.56245,174.988482,27.9
380824922,1512328,-32775,18.617202,174.988482,27.9
380983492,1670898,-46228,9.357138,174.988482,27.9
381341096,0,52144,7.349778,174,29.5
381507090,165994,35097,16.233602,23.58338,29.5
381746203,405107,28082,25.3472,71.348788,29.5
381852803,511707,26419,28.65245,100.001238,29.5
381959002,617906,26596,28.260162,128.2614,29.5
382066698,725602,27383,26.659602,154.921002,29.5
382180136,839040,28808,24.095682,179.016684,29.5
382337674,996578,-33004,18.349682,179.016684,29.5
382415665,1074569,-17299,66.8168,179.016684,29.5
382481228,1140132,-16706,71.64045,179.016684,29.5
382552598,1211502,-18924,55.841312,179.016684,29.5
382633268,1292172,-21586,42.910848,179.016684,29.5
382724396,1383300,-23911,34.978248,179.016684,29.5
382827807,1486711,-27977,25.546952,179.016684,29.5
382953943,1612847,-35440,15.916082,179.016684,29.5
383353279,0,45715,9.565938,179,29.8
383500193,146914,32381,19.071488,28.637426,29.8
383621586,268307,29298,23.297138,51.934564,29.8
383732365,379086,26418,28.65245,80.587014,29.8
383838199,484920,26228,29.062688,109.649702,29.8
383943484,590205,26324,28.849608,138.49931,29.8
384050106,696827,26883,27.661922,166.161232,29.8
384161928,808649,28514,24.598098,190.75933,29.8
384315761,962482,-37265,14.396978,190.75933,29.8
384406851,1053572,-20900,45.773312,190.75933,29.8
384486191,1132912,-19941,50.280392,190.75933,29.8
384563944,1210665,-19425,53.003808,190.75933,29.8
384641582,1288303,-20387,48.11805,190.75933,29.8
384732420,1379141,-25007,31.968008,190.75933,29.8
384851857,1498578,-33523,17.796578,190.75933,29.8
385012035,1658756,-47806,8.744562,190.75933,29.8
385350645,0,51959,7.403552,190,30
385517321,166676,36758,14.7968,22.200352,30
385651244,300599,32339,19.120928,41.32128,30
385770944,420299,28522,24.584072,65.905352,30
385880592,529947,26145,29.245952,95.151304,30
385986517,635872,26116,29.322482,124.473786,30
386091229,740584,26196,29.138978,153.612764,30
386198769,848124,27175,27.070082,180.682846,30
386351563,1000918,-28578,24.486002,180.682846,30
386420025,1069380,-15201,86.540168,180.682846,30
386477470,1126825,-14647,93.215858,180.682846,30
386540222,1189577,-16564,72.890738,180.682846,30
386611069,1260424,-18847,56.28605,180.682846,30
386690014,1339369,-20770,46.349192,180.682846,30
386781022,1430377,-24551,33.178658,180.682846,30
386896024,1545379,-32958,18.410312,180.682846,30
387235126,0,41515,11.596928,180,31.8
387373215,138089,30549,21.425058,33.021986,31.8
387484935,249809,26786,27.870578,60.892564,31.8
387585669,350543,24185,34.179912,95.072476,31.8
387679796,444670,23229,37.048832,132.121308,31.8
387772843,537717,23198,37.1522,169.273508,31.8
387866063,630937,23361,36.6368,205.910308,31.8
387961438,726312,23986,34.761122,240.67143,31.8
388196246,961120,-13916,103.24845,240.67143,31.8
388249068,1013942,-66738,4.488008,240.67143,31.8
388305709,1070583,-123379,1.3122,240.67143,31.8
388369425,1134299,-17122,68.2112,240.67143,31.8
388447393,1212267,-21363,43.8048,240.67143,31.8
388541177,1306051,-25669,30.34205,240.67143,31.8
388668737,1433611,-37866,13.9392,240.67143,31.8
388918575,0,40695,12.073698,240,35.6
389052511,133936,30338,21.727232,33.80093,35.6
389163459,244884,26796,27.840722,61.641652,35.6
389264016,345441,24283,33.915848,95.5575,35.6
389453057,534482,23536,36.091008,167.45123,35.6
389548099,629524,23946,34.877952,202.329182,35.6
389645959,727384,24691,32.805,235.134182,35.6
389913391,994816,-13767,105.502338,235.134182,35.6
389968871,1050296,-69247,4.170272,235.134182,35.6
390030819,1112244,-16301,75.251912,235.134182,35.6
390099446,1180871,-17771,63.326258,235.134182,35.6
390175621,1257046,-20450,47.804642,235.134182,35.6
390267410,1348835,-25415,30.952712,235.134182,35.6
390395656,1477081,-38815,13.271552,235.134182,35.6
390720191,0,39713,12.680648,235,33.3
390858980,138789,31430,20.237522,32.91817,33.3
390974205,254014,27853,25.7762,58.69437,33.3
391077962,357771,24965,32.08005,90.77442,33.3
391175007,454816,24045,34.577928,125.352348,33.3
391270685,550494,23778,35.36405,160.716398,33.3
391464566,744375,24721,32.72405,228.168226,33.3
391696326,976135,-17755,63.438848,228.168226,33.3
391757504,1037313,-15077,87.966848,228.168226,33.3
391820407,1100216,-16660,72.048008,228.168226,33.3
391890282,1170091,-18310,59.645042,228.168226,33.3
391962607,1242416,-18584,57.8888,228.168226,33.3
392039439,1319248,-20127,49.362048,228.168226,33.3
392130850,1410659,-25460,30.842658,228.168226,33.3
392257425,1537234,-37211,14.439938,228.168226,33.3
392550164,0,40528,12.172178,228,32.7
392691722,141558,31917,19.631378,31.803556,32.7
392809036,258872,28536,24.556032,56.359588,32.7
392916221,366057,25798,30.046752,86.40634,32.7
393016130,465966,24656,32.88605,119.29239,32.7
393113566,563402,24234,34.047752,153.340142,32.7
393210794,660630,24428,33.505298,186.84544,32.7
393310245,760081,25053,31.856162,218.701602,32.7
393415130,864966,27747,25.963218,244.66482,32.7
393497635,947471,-82505,2.937888,244.66482,32.7
393574801,1024637,-14876,90.370568,244.66482,32.7
393626628,1076464,-66703,4.494002,244.66482,32.7
393676550,1126386,-116625,1.468898,244.66482,32.7
393975725,1425561,-29002,23.777408,244.66482,32.7
394118269,1568105,-43984,10.333058,244.66482,32.7
394391504,0,52354,7.2962,244,32.5
394540865,149361,33892,17.405,24.7012,32.5
394662743,271239,28928,23.887872,48.589072,32.5
394771378,379874,26053,29.460488,78.04956,32.5
394871195,479691,24723,32.707872,110.757432,32.5
394969850,578346,24562,33.146082,143.903514,32.5
395069283,677779,24993,32.016002,175.919516,32.5
395171977,780473,26021,29.537298,205.456814,32.5
395439837,1048333,-69708,4.112712,205.456814,32.5
395488461,1096957,-118332,1.42805,205.456814,32.5
395539009,1147505,-168880,0.700928,205.456814,32.5
395593225,1201721,-223096,0.401408,205.456814,32.5
395657092,1265588,-17549,64.934408,205.456814,32.5
395738841,1347337,-22908,38.10645,205.456814,32.5
395853662,1462158,-33934,17.357832,205.456814,32.5
396177829,0,39622,12.731058,205,33.5
396315895,138066,31368,20.313938,33.044996,33.5
396431587,253758,28013,25.475522,58.520518,33.5
396535866,358037,25213,31.458312,89.97883,33.5
396634094,456265,24319,33.817088,123.795918,33.5
396731507,553678,24215,34.097282,157.8932,33.5
396829204,651375,24541,33.194952,191.088152,33.5
396929727,751898,25407,30.96845,222.056602,33.5
397212686,1034857,-13476,110.1128,222.056602,33.5
397262843,1085014,-63633,4.936082,222.056602,33.5
397313329,1135500,-114119,1.534752,222.056602,33.5
397368428,1190599,-169218,0.6962,222.056602,33.5
397434032,1256203,-17705,63.799808,222.056602,33.5
397517468,1339639,-23570,35.989128,222.056602,33.5
397636995,1459166,-35799,15.601698,222.056602,33.5
397951813,0,39189,13.015202,222,33.8
398085697,133884,30271,21.819618,34.83482,33.8
398197524,245711,27063,27.30605,62.14087,33.8
398298619,346806,24302,33.849992,95.990862,33.8
398392625,440812,23138,37.342082,133.332944,33.8
398484986,533173,23045,37.653842,170.986786,33.8
398577711,625898,23242,37.014408,208.001194,33.8
398672872,721059,23933,34.911368,242.912562,33.8
398772577,820764,25988,29.598818,272.51138,33.8
398860426,908613,-87849,2.590088,272.51138,33.8
398927738,975925,-13731,106.055048,272.51138,33.8
398977996,1026183,-63989,4.879688,272.51138,33.8
399030180,1078367,-116173,1.4792,272.51138,33.8
399092913,1141100,-17054,68.749538,272.51138,33.8
399169247,1217434,-20610,47.083808,272.51138,33.8
399257981,1306168,-23640,35.7858,272.51138,33.8
399360480,1408667,-27922,25.647122,272.51138,33.8
399498337,1546524,-41143,11.8098,272.51138,33.8
399780548,0,46630,9.193472,272,32.8
399922965,142417,31952,19.581282,28.774754,32.8
400039088,258540,28116,25.290272,54.065026,32.8
400144611,364063,25360,31.094498,85.159524,32.8
400242218,461670,24052,34.561298,119.720822,32.8
400337861,557313,23790,35.330418,155.05124,32.8
400433786,653238,24085,34.461602,189.512842,32.8
400531868,751320,24665,32.869832,222.382674,32.8
400633954,853406,26179,29.169522,251.552196,32.8
400731074,950526,-97120,2.117682,251.552196,32.8
400802658,1022110,-15286,85.569362,251.552196,32.8
400858819,1078271,-71447,3.914402,251.552196,32.8
400916612,1136064,-129240,1.195058,251.552196,32.8
400979857,1199309,-16798,70.876418,251.552196,32.8
401051576,1271028,-18889,56.052872,251.552196,32.8
401132536,1351988,-20742,46.484082,251.552196,32.8
401221576,1441028,-23678,35.667458,251.552196,32.8
401339643,1559095,-35920,15.490178,251.552196,32.8
401628470,0,41914,11.37645,251,32.4
401768153,139683,31406,20.275712,31.652162,32.4
401882932,254462,27811,25.84805,57.500212,32.4
401986847,358377,24921,32.192288,89.6925,32.4
402082912,454442,23686,35.633682,125.326182,32.4
402177836,549366,23616,35.853512,161.179694,32.4
402273478,645008,24052,34.561298,195.740992,32.4
402371961,743491,24650,32.902272,228.643264,32.4
402588179,959709,-18847,56.28605,228.643264,32.4
402648803,1020333,-14291,97.916018,228.643264,32.4
402703102,1074632,-68590,4.245698,228.643264,32.4
402761006,1132536,-15482,83.437362,228.643264,32.4
402830394,1201924,-19398,53.14805,228.643264,32.4
403034364,1405894,-31028,20.762568,228.643264,32.4
403183382,1554912,-44144,10.26045,228.643264,32.4
403428915,0,63411,4.973858,228,33.3
403575808,146893,32670,18.7272,23.701058,33.3
403692917,264002,27922,25.647122,49.34818,33.3
403796815,367900,24906,32.24045,81.58863,33.3
403891942,463027,23619,35.836578,117.425208,33.3
403986128,557213,23623,35.836578,153.261786,33.3
404081638,652723,24252,33.998258,187.260044,33.3
404179440,750525,24670,32.853618,220.113662,33.3
404284463,855548,28818,24.0818,244.195462,33.3
404479522,1050607,-66743,4.488008,244.195462,33.3
404583386,1154471,-170607,0.686792,244.195462,33.3
404731646,1302731,-22680,38.878562,244.195462,33.3
404833512,1404597,-28108,25.304498,244.195462,33.3
404968236,1539321,-40392,12.25125,244.195462,33.3
405224835,0,47864,8.727842,244,33.4
405367088,142253,31777,19.794632,28.522474,33.4
405481409,256574,27359,26.71805,55.240524,33.4
405676953,452118,23042,37.653842,126.514366,33.4
405861099,636264,23148,37.3248,202.085424,33.4
406057428,832593,27598,26.252258,263.132164,33.4
406252386,1027551,-68723,4.23405,263.132164,33.4
406402035,1177200,-218372,0.417698,263.132164,33.4
406466422,1241587,-17602,64.547522,263.132164,33.4
406549123,1324288,-23093,37.4978,263.132164,33.4
407224548,230894,25537,30.65445,69.924346,33.9
407320252,326598,22983,37.862402,107.786748,33.9
407410051,416397,22176,40.662162,148.44891,33.9
407498960,505306,22176,40.662162,189.111072,33.9
407588652,594998,22559,39.285248,228.39632,33.9
407681281,687627,23234,37.048832,265.445152,33.9
407781950,788296,28714,24.248648,289.6938,33.9
407954049,960395,-65883,4.602578,289.6938,33.9
408004373,1010719,-116207,1.4792,289.6938,33.9
408058143,1064489,-169977,0.691488,289.6938,33.9
408118631,1124977,-16369,74.639762,289.6938,33.9
408195736,1202082,-21706,42.448898,289.6938,33.9
408299975,1306321,-29239,23.3928,289.6938,33.9
408436685,1443031,-39728,12.670578,289.6938,33.9
408736487,0,38504,13.488818,289,34.4
408980773,244286,26491,28.486152,63.807802,34.4
409079413,342926,23698,35.599922,99.407724,34.4
409170809,434322,22619,39.090482,138.498206,34.4
409261332,524845,22680,38.878562,177.376768,34.4
409352661,616174,22930,38.036642,215.41341,34.4
409447419,710932,23892,35.02845,250.44186,34.4
409546637,810150,25556,30.607488,281.049348,34.4
409659253,922766,-112616,1.573538,281.049348,34.4
409736171,999684,-16673,71.928018,281.049348,34.4
409795522,1059035,-14468,95.523842,281.049348,34.4
409851653,1115166,-70599,4.010112,281.049348,34.4
409912575,1176088,-15753,80.568818,281.049348,34.4
409980001,1243514,-18037,61.471872,281.049348,34.4
410057398,1320911,-20844,46.022418,281.049348,34.4
410153602,1417115,-27279,26.86445,281.049348,34.4
410296357,1559870,-44009,10.323968,281.049348,34.4
410569452,0,51046,7.675362,281,32.7
410716085,146633,33232,18.108162,25.783524,32.7
410834911,265459,28180,25.176608,50.960132,32.7
410939801,370349,25089,31.76045,82.720582,32.7
411036453,467001,23961,34.827858,117.54844,32.7
411132298,562846,23891,35.02845,152.57689,32.7
411229262,659810,24303,33.849992,186.426882,32.7
411330152,760700,25675,30.326472,216.753354,32.7
411548291,978839,-28655,24.346242,216.753354,32.7
411650086,1080634,-26086,29.383778,216.753354,32.7
411758213,1188761,-27683,26.093088,216.753354,32.7
411864817,1295365,-27396,26.645,216.753354,32.7
411974612,1405160,-29060,23.680962,216.753354,32.7
412098191,1528739,-32987,18.373922,216.753354,32.7
412249248,1679796,-44605,10.044162,216.753354,32.7
412503565,1934113,-84011,2.8322,216.753354,32.7
540744921,0,181276,0.607202,216,0.4
540981906,236985,41219,11.770952,12.378154,0.4
541113428,368507,29440,23.065632,35.443786,0.4
541218792,473871,24522,33.243858,68.687644,0.4
541313143,568222,23324,36.756738,105.444382,0.4
541407432,662511,23904,34.994978,140.43936,0.4
541507074,762153,25500,30.748482,171.187842,0.4
541614588,869667,27852,25.7762,196.964042,0.4
541800956,1056035,-22027,41.205042,196.964042,0.4
541865451,1120530,-15139,87.25205,196.964042,0.4
541922293,1177372,-71981,3.858642,196.964042,0.4
541983523,1238602,-15821,79.8848,196.964042,0.4
542049512,1304591,-17487,65.391048,196.964042,0.4
542129037,1384116,-22399,39.854592,196.964042,0.4
542232397,1487476,-28646,24.3602,196.964042,0.4
542369326,1624405,-41196,11.780658,196.964042,0.4
542587924,0,75869,3.474248,196,32.5
542751423,163499,31118,20.646738,24.120986,32.5
542863038,275114,26665,28.125,52.245986,32.5
542962135,374211,23806,35.28,87.525986,32.5
543055038,467114,22957,37.93205,125.458036,32.5
543147645,559721,23070,37.567112,163.025148,32.5
543240790,652866,23413,36.482882,199.50803,32.5
543337189,749265,24507,33.2928,232.80083,32.5
543442373,854449,28773,24.15125,256.95208,32.5
543582780,994856,-14722,92.262528,256.95208,32.5
543634425,1046501,-66367,4.536072,256.95208,32.5
543685239,1097315,-117181,1.455218,256.95208,32.5
543741201,1153277,-173143,0.665858,256.95208,32.5
543806986,1219062,-17892,62.473842,256.95208,32.5
543888520,1300596,-22693,38.825672,256.95208,32.5
543991251,1403327,-28366,24.85125,256.95208,32.5
544123830,1535906,-37664,14.09805,256.95208,32.5
544439850,0,44611,10.044162,256,32.3
544577601,137751,29896,22.364672,32.408834,32.3
544686375,246525,25673,30.34205,62.750884,32.3
544783755,343905,23427,36.431648,99.182532,32.3
544873962,434112,22204,40.554018,139.73655,32.3
544962500,522650,22091,40.969352,180.705902,32.3
545052088,612238,22566,39.267522,219.973424,32.3
545145061,705211,23479,36.278162,256.251586,32.3
545483448,1043598,-70581,4.010112,256.251586,32.3
545543206,1103356,-15701,81.128322,256.251586,32.3
545607152,1167302,-16793,70.900232,256.251586,32.3
545683463,1243613,-21400,43.655168,256.251586,32.3
545782162,1342312,-27546,26.3538,256.251586,32.3
545916791,1476941,-39080,13.086728,256.251586,32.3
546252152,0,40829,11.995202,256,33.1
546386756,134604,29848,22.445,34.440202,33.1
546496458,244306,26384,28.7282,63.168402,33.1
546595137,342985,23577,35.972162,99.140564,33.1
546687047,434895,22708,38.772818,137.913382,33.1
546777553,525401,22507,39.480498,177.39388,33.1
546868178,616026,22749,38.63205,216.02593,33.1
546960818,708666,23292,36.859698,252.885628,33.1
547057767,805615,25212,31.458312,284.34394,33.1
547140478,888326,-82711,2.923362,284.34394,33.1
547210670,958518,-14243,98.5608,284.34394,33.1
547260584,1008432,-64157,4.854728,284.34394,33.1
547308790,1056638,-112363,1.580642,284.34394,33.1
547360246,1108094,-163819,0.7442,284.34394,33.1
547415958,1163806,-219531,0.41405,284.34394,33.1
547481165,1229013,-17602,64.547522,284.34394,33.1
547559711,1307559,-21567,42.984992,284.34394,33.1
547653879,1401727,-25721,30.217538,284.34394,33.1
547782387,1530235,-40134,12.410162,284.34394,33.1
547981542,0,199155,0.504008,284,34.6
548123606,142064,31911,19.631378,20.135386,34.6
548238249,256707,27227,26.967168,47.102554,34.6
548339357,357815,24234,34.047752,81.150306,34.6
548430879,449337,22314,40.158722,121.309028,34.6
548517644,536102,21520,43.170632,164.47966,34.6
548603524,621982,21440,43.505792,207.985452,34.6
548690498,708956,21850,41.879552,249.865004,34.6
548780330,798788,22676,38.878562,288.743566,34.6
548877385,895843,27152,27.114248,315.857814,34.6
549033088,1051546,-17803,63.101378,315.857814,34.6
549096329,1114787,-15788,80.213778,315.857814,34.6
549158671,1177129,-15753,80.568818,315.857814,34.6
549223306,1241764,-16455,73.859858,315.857814,34.6
549289246,1307704,-17270,67.0482,315.857814,34.6
549360064,1378522,-18488,58.492928,315.857814,34.6
549441201,1459659,-21928,41.5872,315.857814,34.6
549539271,1557729,-27398,26.630402,315.857814,34.6
549689367,1707825,-50950,7.698888,315.857814,34.6
549960030,0,31850,19.706642,315,30.3
550073136,113106,26521,28.4258,48.132442,30.3
550173127,213097,24127,34.345472,82.477914,30.3
550264538,304508,22318,40.1408,122.618714,30.3
550352104,392074,21697,42.467328,165.086042,30.3
550439406,479376,21784,42.1362,207.222242,30.3
550527464,567434,22158,40.734338,247.95658,30.3
550618437,658407,22989,37.827602,285.784182,30.3
550720898,760868,30986,20.827058,306.61124,30.3
550882912,922882,-19104,54.789512,306.61124,30.3
550951676,991646,-17152,67.9778,306.61124,30.3
551019779,1059749,-17430,65.826338,306.61124,30.3
551089470,1129440,-17544,64.957202,306.61124,30.3
551160943,1200913,-18556,58.082642,306.61124,30.3
551238107,1278077,-20203,48.985202,306.61124,30.3
551325004,1364974,-23574,35.972162,306.61124,30.3
551432862,1472832,-30945,20.878722,306.61124,30.3
551827099,0,39023,13.127688,306,32.1
551966459,139360,32394,19.046792,32.17448,32.1
552086696,259597,29308,23.283488,55.457968,32.1
552197231,370132,26696,28.05005,83.508018,32.1
552300144,473045,25401,30.984192,114.49221,32.1
552400431,573332,24862,32.352968,146.845178,32.1
552500505,673406,25176,31.553568,178.398746,32.1
552603735,776636,26014,29.552672,207.951418,32.1
552799267,972168,-22133,40.824648,207.951418,32.1
552870412,1043313,-17362,66.332162,207.951418,32.1
552945414,1118315,-20296,48.550658,207.951418,32.1
553029348,1202249,-20993,45.372338,207.951418,32.1
553109424,1282325,-20063,49.680512,207.951418,32.1
553189002,1361903,-20370,48.196562,207.951418,32.1
553278412,1451313,-24619,32.983442,207.951418,32.1
553400287,1573188,-35517,15.84845,207.951418,32.1
553776698,0,42123,11.262258,207,30.7
553924622,147924,33504,17.808512,29.07077,30.7
554048016,271318,29737,22.606088,51.676858,30.7
554158443,381745,26389,28.713042,80.3899,30.7
554259711,483013,24867,32.336882,112.726782,30.7
554357450,580752,24131,34.345472,147.072254,30.7
554454455,677757,24386,33.62,180.692254,30.7
554553594,776896,24944,32.128128,212.820382,30.7
554659288,882590,28838,24.040178,236.86056,30.7
554908887,1132189,-119406,1.401138,236.86056,30.7
554967619,1190921,-178138,0.629442,236.86056,30.7
555035828,1259130,-18561,58.039538,236.86056,30.7
555121063,1344365,-23579,35.972162,236.86056,30.7
555225874,1449176,-28237,25.077362,236.86056,30.7
555351237,1574539,-34458,16.843208,236.86056,30.7
555664944,0,39873,12.570098,236,31.7
555802415,137471,31024,20.775458,33.345556,31.7
555915899,250955,27391,26.645,59.990556,31.7
556017639,352695,24535,33.21125,93.201806,31.7
556112862,447918,23548,36.057032,129.258838,31.7
556206238,541294,23228,37.06605,166.324888,31.7
556300076,635132,23563,36.006098,202.330986,31.7
556396791,731847,24463,33.407138,235.738124,31.7
556503334,838390,30772,21.112002,256.850126,31.7
556727472,1062528,-14726,92.2082,256.850126,31.7
556786409,1121465,-15274,85.726418,256.850126,31.7
556846408,1181464,-15221,86.303522,256.850126,31.7
556907325,1242381,-15753,80.568818,256.850126,31.7
556974854,1309910,-18087,61.117568,256.850126,31.7
557057522,1392578,-23093,37.4978,256.850126,31.7
557165586,1500642,-30395,21.6482,256.850126,31.7
557541509,0,36874,14.699042,256,31.9
557670702,129193,30089,22.084658,36.7837,31.9
557782344,240835,26513,28.440882,65.224582,31.9
557881721,340212,23901,34.994978,100.21956,31.9
557974712,433203,23027,37.705928,137.925488,31.9
558067154,525645,23108,37.445858,175.371346,31.9
558160622,619113,23549,36.057032,211.428378,31.9
558363111,821602,29807,22.498632,267.236132,31.9
558572425,1030916,-14256,98.392392,267.236132,31.9
558631132,1089623,-15526,82.9472,267.236132,31.9
558696996,1155487,-17412,65.964098,267.236132,31.9
558771455,1229946,-19870,50.642048,267.236132,31.9
558858373,1316864,-23290,36.859698,267.236132,31.9
558962896,1421387,-28809,24.095682,267.236132,31.9
559091716,1550207,-35717,15.668802,267.236132,31.9
559447952,0,39500,12.811922,267,31.4
559581338,133386,30465,21.543048,34.35497,31.4
559694200,246248,26907,27.617312,61.972282,31.4
559794772,346820,24096,34.445,96.417282,31.4
559888449,440497,23215,37.100498,133.51778,31.4
559980479,532527,22959,37.93205,171.44983,31.4
560073071,625119,23285,36.876872,208.326702,31.4
560169336,721384,24450,33.439842,241.766544,31.4
560419132,971180,-16724,71.496882,241.766544,31.4
560484550,1036598,-16849,70.44845,241.766544,31.4
560553570,1105618,-17701,63.822402,241.766544,31.4
560627515,1179563,-19884,50.581682,241.766544,31.4
560715645,1267693,-23980,34.7778,241.766544,31.4
560824821,1376869,-30492,21.503682,241.766544,31.4
560969229,1521277,-42883,10.867122,241.766544,31.4
561284709,0,40301,12.310722,241,32.6
561425754,141045,32174,19.319328,31.63005,32.6
561648572,363863,25332,31.157618,87.97847,32.6
561745967,461258,23974,34.794482,122.772952,32.6
561841518,556809,23822,35.229618,158.00257,32.6
561937464,652755,24097,34.428402,192.430972,32.6
562036281,751572,24956,32.112098,224.54307,32.6
562337280,1052571,-15633,81.817632,224.54307,32.6
562399067,1114358,-15865,79.455618,224.54307,32.6
562464337,1179628,-16953,69.572808,224.54307,32.6
562536806,1252097,-19446,52.880328,224.54307,32.6
562622056,1337347,-22767,38.579328,224.54307,32.6
562724350,1439641,-27766,25.934402,224.54307,32.6
562859096,1574387,-39660,12.710882,224.54307,32.6
563160649,0,40151,12.4002,224,31.9
563300844,140195,31522,20.123168,32.523368,31.9
563415123,254474,27307,26.820488,59.343856,31.9
563516281,355632,24197,34.146848,93.490704,31.9
563609272,448623,22863,38.246258,131.736962,31.9
563700455,539806,22656,38.949138,170.6861,31.9
563792109,631460,23067,37.58445,208.27055,31.9
563886706,726057,23880,35.061938,243.332488,31.9
564128961,968312,-20027,49.860098,243.332488,31.9
564195656,1035007,-16587,72.673568,243.332488,31.9
564261870,1101221,-17336,66.539648,243.332488,31.9
564337575,1176926,-20212,48.945618,243.332488,31.9
564424251,1263602,-23023,37.723298,243.332488,31.9
564519646,1358997,-25389,31.015688,243.332488,31.9
564635905,1475256,-32618,18.78845,243.332488,31.9
564803530,1642881,-51127,7.64405,243.332488,31.9
565062509,0,62687,5.08805,243,31.5
